x,y
0.04004004,0.2076722
0.3203203,0.12868081
0.38038036,-0.24476326
0.4004004,-0.5221414
0.48048046,-0.9373346
0.5105105,-0.8262033
0.5505505,-0.9501178
0.5905906,-0.6049242
0.6206206,-0.38492316
0.6706706,0.10164599
0.69069064,0.27493212
0.69069064,0.26940897
0.7707707,0.96259385
0.88088083,1.0192729
0.89089084,0.9013998
0.9109109,0.8499961
0.9509509,0.371839
0.9509509,0.56762797
0.98098093,0.20797448
1.011011,-0.20408937
1.031031,-0.4255791
1.051051,-0.42939448
1.071071,-0.4536284
1.2312312,-0.83829916
1.3013012,-0.22620478
1.3313313,0.052840073
1.3813813,0.6002346
1.4314314,0.85061216
1.4714714,1.084244
1.5015014,1.0495613
1.5115114,0.8320563
1.6016016,0.4140558
1.6416416,0.25383562
1.6816816,-0.17400542
1.6916916,-0.4048707
1.7617617,-0.9720468
1.7717717,-0.86076033
1.9319319,-0.6497653
1.9719719,-0.22641072
1.9919919,-0.0017798692
2.112112,-0.54546255
2.162162,-0.7168257
2.172172,-0.6734784
2.3523524,-1.2808795
2.3523524,-1.2293358
2.3823824,-1.531876
2.4024024,-1.3185955
2.4024024,-1.4920213
2.5625625,-1.2567575
2.6026025,-1.2904481
2.7827828,-0.632871
2.8628628,-0.32168972
2.8728728,-0.19728623
2.8928928,-0.120513126
2.9029028,-0.045872565
2.9529529,0.07764898
3.143143,0.48053205
3.163163,0.48703817
3.2232232,0.515677
3.2232232,0.3264752
3.3133132,0.2228646
3.4034033,0.019489897
3.4034033,-0.06091874
3.4734733,-0.430131
3.5735734,-0.71577394
3.5935934,-0.6752675
3.6236234,-0.83551824
3.6436436,-1.1689848
3.6936936,-1.1828114
3.7237236,-1.1813663
3.7537537,-1.3043998
3.7537537,-1.3356804
3.8638637,-1.5740951
3.9639637,-1.2514383
3.9939938,-1.1365091
4.054054,-1.3076284
4.094094,-1.5013888
4.144144,-1.3726003
4.144144,-1.5388358
4.284284,-1.6609895
4.324324,-1.7811882
4.384384,-1.8795637
4.4144144,-1.8611726
4.444444,-2.22815
4.564564,-2.2971704
4.5945945,-2.4845743
4.6146145,-2.591816
4.6346345,-2.5137
4.6846843,-2.5186403
4.6946945,-2.6746316
4.7747746,-2.7318842
4.7947946,-2.734197
4.9549546,-3.0828247
4.9749746,-3.080113
4.9949946,-3.0539439
5.0450454,-3.122867
5.0650654,-3.044279
5.075075,-3.4189842
5.115115,-3.1661766
5.275275,-3.1104789
5.3053055,-3.2594094
5.3053055,-3.0807443
5.3153157,-3.1672812
5.415416,-2.991781
5.435436,-3.0978963
5.455456,-3.001213
5.5055056,-2.8992534
5.515516,-2.8626873
5.5655656,-2.8858376
5.635636,-2.5299377
5.7057056,-2.5943325
5.735736,-2.4079823
5.905906,-2.2973402
5.915916,-2.214337
5.935936,-1.9344747
5.955956,-1.8757061
5.965966,-1.9308779
6.1061063,-2.0768516
6.2662663,-3.1042347
6.2762766,-2.6230965
6.2962966,-2.2611227
6.2962966,-2.4609478
6.3163166,-2.0873256
6.3263264,-1.7595793
6.3563566,-1.6436893
6.4064064,-1.8553147
6.4264264,-2.4307976
6.4264264,-2.2214317
6.4964967,-3.531192
6.5165167,-3.675094
6.5665665,-3.2851782
6.606607,-2.181241
6.6566567,-1.4360051
6.726727,-2.0584984
6.756757,-2.3803205
6.816817,-3.3881721
6.996997,-1.7491245
6.996997,-1.6629529
7.0370374,-2.0054386
7.067067,-2.4699051
7.067067,-2.6701748
7.087087,-2.8252459
7.0970974,-3.083647
7.1771774,-3.3488932
7.2572575,-1.9106714
7.287287,-1.5473852
7.3673673,-2.2782838
7.4274273,-3.1921132
7.4274273,-3.1962059
7.547548,-2.3255339
7.5575576,-2.2847173
7.587588,-1.730016
7.6376376,-1.6590438
7.687688,-2.3612127
7.7777777,-3.271291
7.8178177,-3.327674
8.138138,-2.066942
8.158158,-2.0794075
8.248248,-2.1657279
8.338339,-2.2816963
8.338339,-2.169137
8.378379,-2.3587048
8.408408,-2.236027
8.438438,-2.3590071
8.468469,-2.2140176
8.528528,-2.226149
8.708709,-2.5095541
8.728729,-2.5442665
8.768769,-2.241827
8.798799,-2.6558352
8.868869,-2.5406244
8.888889,-2.5949373
8.938939,-2.4602659
8.948949,-2.6829443
8.978979,-2.7340527
8.998999,-2.555107
9.039039,-2.7112334
9.039039,-2.7533073
9.119119,-2.7315938
9.129129,-2.719685
9.139139,-2.7626176
9.139139,-2.7069452
9.1992,-2.7377386
9.229229,-2.966193
9.339339,-3.0345325
9.35936,-3.0404146
9.379379,-3.0638988
9.4094095,-2.9600327
9.43944,-3.129254
9.52953,-3.2065012
9.549549,-3.2443755
9.579579,-3.1554692
9.66967,-3.1825666
9.739739,-3.405826
9.819819,-3.3203878
9.88989,-3.5085297
9.90991,-3.5743349
9.91992,-3.562782
9.94995,-3.7714846
9.98999,-3.7952814
