x,y
0.04004004,0.0028172284
0.120120116,0.11386618
0.13013013,-0.003494382
0.13013013,0.13730967
0.14014013,0.13498534
0.2102102,0.3177544
0.3003003,0.27491546
0.3303303,0.32507515
0.35035035,0.27644187
0.36036035,0.59750175
0.37037036,0.3809622
0.49049047,0.51010823
0.5405405,0.42584386
0.7007007,0.6702674
0.8008008,0.8263455
0.8608608,0.8381023
0.9509509,0.7148422
1.051051,0.7238665
1.071071,0.93166465
1.101101,0.80506504
1.1611611,0.7593877
1.1711711,0.8915115
1.1911912,0.9646042
1.2112112,0.98415464
1.2612612,0.94536585
1.2712712,0.98094153
1.2912912,0.9135861
1.3913914,1.0085803
1.4114114,0.8757024
1.5215214,1.0336795
1.5215214,1.3304428
1.5215214,0.86974585
1.5915915,0.73855376
1.6316316,0.9039768
1.6916916,0.9085108
1.7217216,1.1664995
1.7417417,1.0524862
1.8618618,0.8953862
1.8718718,0.9433224
1.8918918,0.90408033
1.9219218,1.0522175
1.9619619,0.98191154
1.9819819,1.1139495
1.9919919,0.9530234
2.002002,0.8110712
2.032032,0.78115386
2.222222,0.16845058
2.282282,-0.36820215
2.3423421,-0.4241746
2.4224224,-0.48904333
2.4524524,-0.62449664
2.6026025,-0.36480197
2.6126125,-0.30863875
2.6626625,-0.13462411
2.6626625,-0.3462491
2.7227225,0.27016497
2.9029028,0.77162015
2.9929929,1.3403573
2.9929929,1.0569296
3.013013,1.2553121
3.053053,1.2331265
3.063063,1.3571209
3.063063,1.4374342
3.073073,1.192823
3.2632632,1.5068518
3.2832832,1.3448594
3.3233232,1.2316204
3.3633633,1.1677074
3.4634633,0.6770385
3.5635633,0.28669164
3.5635633,0.14126989
3.5735734,0.113773175
3.5935934,0.21624655
3.6736736,-0.1724437
3.6936936,-0.28595057
3.7837837,-0.2392697
3.8838837,-0.4998505
3.8938937,-0.62015957
3.9139137,-0.43489796
3.9439437,-0.5134784
3.9439437,-0.5234097
3.9739738,-0.6064564
3.9839838,-0.57725585
3.9839838,-0.47700217
3.9939938,-0.45103258
4.044044,0.016932897
4.114114,1.2216607
4.144144,1.6450024
4.184184,1.3913914
4.214214,1.1211895
4.2742743,-0.018717686
4.2742743,0.16110146
4.384384,0.10718569
4.4144144,0.9021725
4.4344344,1.1503358
4.544544,0.8558019
4.5545545,0.6551823
4.564564,0.42370307
4.564564,0.46481225
4.6246243,-0.34475112
4.6546545,-0.18937615
4.724725,0.89391863
4.7547545,1.3661934
4.764765,1.2548444
4.7747746,1.6789385
4.864865,0.7103923
4.8748746,0.64048725
4.8948946,0.060816728
4.9549546,-0.28540346
4.9549546,-0.3720325
5.1651654,0.99079216
5.2052054,0.16568866
5.235235,-0.20925231
5.2652655,-0.51761985
5.3353357,0.327123
5.3353357,0.69899166
5.4454455,1.5199637
5.455456,1.384908
5.4854856,0.9535617
5.635636,0.09825419
5.675676,0.9465357
5.6856856,1.0680721
5.835836,0.086930655
5.855856,-0.082140274
5.875876,-0.27543908
5.935936,-0.046692677
6.056056,1.031337
6.096096,1.2297883
6.136136,1.1846023
6.3063064,1.5373001
6.3563566,1.603991
6.3863864,1.7640159
6.4064064,1.8375245
6.4564567,1.7657455
6.4964967,1.7017287
6.5265265,1.770793
6.5365367,1.7619462
6.5465465,1.5597358
6.6166167,1.8685064
6.686687,1.7239857
6.766767,1.7362096
6.806807,1.7955631
6.826827,1.9122883
6.836837,1.9383523
6.856857,1.9141023
6.936937,1.8012896
6.966967,1.6358669
6.986987,1.7683948
7.087087,1.3915392
7.1571574,1.4181757
7.207207,1.2899852
7.227227,1.3116431
7.3173175,1.0657904
7.3473473,1.0344274
7.507508,0.53382516
7.5575576,0.69177306
7.6376376,0.4095027
7.6976976,0.40902764
7.8578577,0.07930776
7.907908,0.037481856
7.907908,-0.121404506
7.937938,0.058610372
8.058058,0.44466692
8.0680685,0.47746745
8.098098,0.6160513
8.098098,0.68322873
8.258258,-0.081191644
8.268269,-0.06366242
8.338339,-0.6605494
8.368368,-0.9328166
8.398398,-1.1417068
8.518518,-1.241778
8.558558,-0.9139857
8.588589,-0.6856957
8.588589,-0.5223526
8.5985985,-0.6170639
8.928929,0.19320871
9.089089,-1.4085749
9.119119,-1.3268075
9.149149,-1.4470334
9.23924,-1.007505
9.309309,-0.4046647
9.31932,-0.2037947
9.3293295,-0.16699335
9.3693695,0.10698813
9.389389,0.5042001
9.429429,0.5563174
9.43944,0.54381216
9.44945,0.68303144
9.47948,0.84006876
9.509509,0.48801047
9.549549,0.111213386
9.56957,0.25758824
9.60961,-0.17436746
9.60961,0.12610981
9.66967,-0.76105976
9.70971,-0.9528389
9.72973,-1.0430013
9.859859,-1.0820966
9.94995,-0.471398
