x,y
0.09009009,0.13677797
0.16016015,0.4617002
0.17017016,0.12249419
0.22022021,0.43572566
0.27027026,0.6821274
0.38038036,0.69603217
0.5105105,1.0506027
0.5905906,0.8744235
0.6406406,0.91777456
0.6606606,1.0231804
0.78078073,0.9250724
0.8308308,1.0208129
0.8408408,1.0766611
0.8608608,0.924183
1.001001,0.82050633
1.081081,0.5216744
1.1511511,0.61672205
1.1711711,0.73287606
1.1811812,0.57672316
1.2012012,0.66254956
1.2112112,0.5509592
1.2412412,0.5609062
1.2612612,0.425558
1.2812812,0.45713633
1.4714714,0.25398332
1.5015014,0.009928085
1.5115114,-0.005888317
1.6216216,-0.37900612
1.6516516,-0.37056988
1.6916916,-0.36599836
1.8118117,-0.75517684
1.8718718,-0.80496985
1.9319319,-0.8782125
1.9419419,-0.83823305
1.9719719,-0.8090407
1.9819819,-0.77859
2.072072,-0.85307086
2.092092,-0.9164009
2.102102,-1.0879116
2.122122,-0.89190817
2.292292,-1.0064377
2.4224224,-1.0179199
2.4224224,-1.0856155
2.4324324,-1.0006864
2.4924924,-1.063555
2.5025024,-1.0791112
2.6126125,-1.2358315
2.6126125,-1.4298825
2.6326325,-1.4165629
2.6426425,-1.3219496
2.7827828,-1.4094782
3.123123,-1.8647778
3.163163,-1.8302745
3.173173,-1.8344313
3.183183,-1.8683448
3.3833833,-2.0122373
3.4234233,-1.9503309
3.4534533,-2.0909326
3.5135133,-2.10697
3.5335333,-2.2170167
3.5435433,-2.1663353
3.5735734,-2.2185495
3.6136134,-2.1693017
3.6536536,-2.2085633
3.6536536,-2.2341971
3.6636636,-2.216265
3.7137136,-2.302948
3.7937937,-2.3801537
3.8638637,-2.3936026
3.8638637,-2.4938316
3.9539537,-2.5509896
4.004004,-2.4279585
4.014014,-2.5162866
4.064064,-1.8757198
4.154154,-0.4977076
4.164164,-0.46353552
4.184184,-0.7923355
4.224224,-1.1871563
4.234234,-1.4256821
4.4344344,-0.790303
4.444444,-0.6020134
4.6046042,-2.249553
4.6746745,-2.081598
4.7147145,-1.5183107
4.7747746,-0.5974062
4.804805,-0.6322955
4.804805,-0.49901187
4.984985,-2.2914174
4.9949946,-2.081638
5.035035,-1.3996128
5.2252254,-2.4570284
5.3953958,-0.68676317
5.415416,-0.69288754
5.4654655,-0.9623335
5.475476,-1.0982065
5.4854856,-1.2994258
5.535536,-2.2329946
5.7257257,-0.62696785
5.735736,-0.46418637
5.955956,-1.8933779
5.955956,-1.6752493
6.0660663,-0.78121775
6.1061063,-0.20097466
6.1061063,-0.25231904
6.1861863,-0.5491257
6.2962966,-1.2275378
6.3263264,-1.4617865
6.3563566,-1.869394
6.3563566,-1.811086
6.3763766,-2.0188346
6.4064064,-2.1110735
6.4464464,-2.3186154
6.5265265,-2.3660913
6.5565567,-2.0784006
6.6566567,-1.3338085
6.6566567,-1.3752273
6.6966968,-0.91804
6.736737,-0.4817428
6.826827,-0.33270043
6.846847,-0.4440326
6.876877,-0.5389788
6.876877,-0.48921204
6.906907,-0.7571803
6.916917,-0.813306
6.926927,-0.93067175
6.936937,-0.9997607
7.0370374,-1.8880165
7.047047,-2.0409954
7.127127,-2.2851589
7.1771774,-2.4513974
7.1971974,-2.1754665
7.267267,-1.735196
7.2772775,-1.6647431
7.3173175,-1.1888412
7.3473473,-0.85144335
7.3773775,-0.639948
7.4374375,-0.32358497
7.487488,-0.22164378
7.4974976,-0.24219383
7.4974976,-0.52640986
7.4974976,-0.39304405
7.5375376,-0.36040297
7.5575576,-0.6289867
7.567568,-0.7633951
7.5975976,-1.0559528
7.7177176,-2.0807722
7.7377377,-2.1025012
7.767768,-2.130437
7.8178177,-2.2410083
7.8178177,-2.3481824
7.8378377,-2.3658369
7.8578577,-2.1775537
7.917918,-1.7158986
7.957958,-1.4347088
7.967968,-1.3666401
7.987988,-1.4302748
8.138138,-1.2103763
8.258258,-1.0799735
8.278278,-0.94446987
8.318318,-0.81240857
8.348349,-0.40176487
8.348349,-0.64697707
8.378379,-0.58586997
8.408408,-0.32170984
8.458459,-0.19680867
8.468469,-0.14885327
8.508509,0.28833145
8.658659,0.41894144
8.728729,0.928635
8.738739,0.6932912
8.738739,0.7268458
8.748749,0.6533206
8.858859,0.727188
8.888889,0.44902864
8.938939,0.5594564
9.009009,0.26252198
9.079079,0.030078664
9.089089,-0.10031844
9.129129,-0.10782361
9.139139,-0.22702456
9.149149,-0.57672465
9.189189,-0.5486266
9.1992,-0.49824485
9.1992,-0.75166976
9.289289,-1.0109373
9.309309,-1.0254046
9.4094095,-1.2667683
9.419419,-1.2590554
9.43944,-1.2981557
9.48949,-1.4296224
9.619619,-1.2518977
9.62963,-1.0251503
9.659659,-0.9159775
9.659659,-1.0085347
9.71972,-0.9006807
9.72973,-0.781504
9.78979,-0.4645316
9.819819,-0.33633915
9.859859,-0.117208496
9.86987,-0.2930568
