x,y
0.0,0.0
0.01001001,0.09452748
0.02002002,0.18820843
0.030030029,0.2802039
0.04004004,0.36968994
0.05005005,0.45586532
0.060060058,0.53795815
0.070070066,0.61523324
0.08008008,0.68699867
0.09009009,0.7526117
0.1001001,0.8114847
0.110110104,0.86309046
0.120120116,0.9069668
0.13013013,0.9427208
0.14014013,0.9700323
0.15015015,0.98865664
0.16016015,0.9984271
0.17017016,0.99925613
0.18018018,0.9911363
0.19019018,0.9741404
0.2002002,0.9484206
0.2102102,0.91420716
0.22022021,0.87180656
0.23023023,0.82159853
0.24024023,0.7640326
0.25025025,0.6996244
0.26026025,0.62895095
0.27027026,0.5526447
0.28028026,0.47138926
0.29029027,0.3859125
0.3003003,0.29697928
0.3103103,0.20538667
0.3203203,0.11195496
0.3303303,0.017520398
0.34034032,-0.07707106
0.35035035,-0.17097232
0.36036035,-0.26334244
0.37037036,-0.3533542
0.38038036,-0.44020125
0.39039037,-0.52310634
0.4004004,-0.6013269
0.4104104,-0.6741619
0.4204204,-0.74095964
0.4304304,-0.8011217
0.44044042,-0.85410935
0.45045042,-0.8994478
0.46046045,-0.9367317
0.47047046,-0.9656264
0.48048046,-0.98587346
0.49049047,-0.9972915
0.5005005,-0.9997784
0.5105105,-0.9933117
0.5205205,-0.9779495
0.5305305,-0.9538292
0.5405405,-0.92116696
0.5505505,-0.88025516
0.5605605,-0.8314602
0.5705705,-0.77521944
0.58058053,-0.7120359
0.5905906,-0.64247537
0.6006006,-0.5671615
0.6106106,-0.4867684
0.6206206,-0.40201604
0.6306306,-0.31366342
0.6406406,-0.22250226
0.6506506,-0.12934802
0.6606606,-0.035035416
0.6706706,0.05959095
0.68068063,0.15368365
0.69069064,0.24639958
0.7007007,0.3369098
0.7107107,0.42440236
0.7207207,0.5080942
0.7307307,0.58723575
0.7407407,0.6611183
0.7507507,0.72908026
0.7607607,0.7905126
0.7707707,0.8448659
0.78078073,0.89165294
0.79079074,0.93045485
0.8008008,0.96092415
0.8108108,0.98278767
0.8208208,0.99584985
0.8308308,0.99999374
0.8408408,0.9951822
0.8508508,0.9814584
0.8608608,0.95894504
0.8708708,0.92784405
0.88088083,0.88843334
0.89089084,0.8410668
0.90090084,0.7861681
0.9109109,0.72422826
0.9209209,0.65580255
0.9309309,0.5815045
0.9409409,0.50199807
0.9509509,0.4179968
0.9609609,0.33025128
0.9709709,0.23954907
0.98098093,0.14670162
0.99099094,0.05253944
1.001001,-0.04209326
1.011011,-0.13634804
1.021021,-0.22938271
1.031031,-0.3203622
1.041041,-0.40847272
1.051051,-0.49292603
1.061061,-0.57296413
1.071071,-0.6478718
1.081081,-0.71697676
1.091091,-0.7796609
1.101101,-0.8353633
1.111111,-0.88358414
1.121121,-0.9238925
1.131131,-0.95592654
1.141141,-0.9793999
1.1511511,-0.9941024
1.1611611,-0.9999021
1.1711711,-0.99674726
1.1811812,-0.9846659
1.1911912,-0.9637663
1.2012012,-0.93423593
1.2112112,-0.89633906
1.2212212,-0.85041463
1.2312312,-0.7968748
1.2412412,-0.736198
1.2512512,-0.6689288
1.2612612,-0.5956683
1.2712712,-0.51707405
1.2812812,-0.43384922
1.2912912,-0.3467382
1.3013012,-0.2565228
1.3113112,-0.16400924
1.3213212,-0.07002781
1.3313313,0.024580736
1.3413413,0.1189701
1.3513513,0.21229309
1.3613613,0.30371583
1.3713713,0.3924177
1.3813813,0.47760534
1.3913914,0.5585174
1.4014014,0.634426
1.4114114,0.7046538
1.4214214,0.76857036
1.4314314,0.82560456
1.4414414,0.87524456
1.4514514,0.91704637
1.4614614,0.95063597
1.4714714,0.9757118
1.4814814,0.9920499
1.4914914,0.99950355
1.5015014,0.99800617
1.5115114,0.98757124
1.5215214,0.9682922
1.5315315,0.94034135
1.5415415,0.9039696
1.5515515,0.8595019
1.5615615,0.80733746
1.5715715,0.747943
1.5815815,0.68184966
1.5915915,0.60965073
1.6016016,0.5319905
1.6116116,0.44956762
1.6216216,0.36311775
1.6316316,0.27341688
1.6416416,0.18126746
1.6516516,0.08749374
1.6616616,-0.0070625753
1.6716716,-0.10155659
1.6816816,-0.19514017
1.6916916,-0.2869762
1.7017016,-0.37624222
1.7117116,-0.4621397
1.7217216,-0.5438984
1.7317317,-0.62078625
1.7417417,-0.69211316
1.7517517,-0.7572433
1.7617617,-0.8155918
1.7717717,-0.8666353
1.7817817,-0.9099187
1.7917917,-0.9450532
1.8018017,-0.9717238
1.8118117,-0.9896926
1.8218218,-0.99879813
1.8318318,-0.9989588
1.8418418,-0.9901733
1.8518518,-0.9725201
1.8618618,-0.9461581
1.8718718,-0.9113222
1.8818818,-0.8683249
1.8918918,-0.8175523
1.9019018,-0.7594571
1.9119118,-0.6945605
1.9219218,-0.6234437
1.9319319,-0.54674524
1.9419419,-0.46514884
1.9519519,-0.37938675
1.9619619,-0.29022884
1.9719719,-0.19847001
1.9819819,-0.10493375
1.9919919,-0.0104596615
2.002002,-0.0104596615
2.012012,-0.050782233
2.022022,-0.09193337
2.032032,-0.13383234
2.042042,-0.17639431
2.052052,-0.21953313
2.062062,-0.26316413
2.072072,-0.30719903
2.082082,-0.3515486
2.092092,-0.3961259
2.102102,-0.4408407
2.112112,-0.48560238
2.122122,-0.5303232
2.132132,-0.57491255
2.142142,-0.6192802
2.152152,-0.6633392
2.162162,-0.7070002
2.172172,-0.7501748
2.182182,-0.7927785
2.192192,-0.8347248
2.202202,-0.8759289
2.212212,-0.9163099
2.222222,-0.9557861
2.232232,-0.9942776
2.242242,-1.0317088
2.252252,-1.0680041
2.262262,-1.1030898
2.272272,-1.1368971
2.282282,-1.1693577
2.292292,-1.2004057
2.3023021,-1.2299803
2.3123121,-1.2580217
2.3223221,-1.284473
2.3323321,-1.3092823
2.3423421,-1.3323989
2.3523524,-1.3537779
2.3623624,-1.373375
2.3723724,-1.3911515
2.3823824,-1.4070715
2.3923924,-1.4211036
2.4024024,-1.4332194
2.4124124,-1.4433944
2.4224224,-1.4516089
2.4324324,-1.4578457
2.4424424,-1.4620928
2.4524524,-1.4643414
2.4624624,-1.4645872
2.4724724,-1.4628296
2.4824824,-1.4590721
2.4924924,-1.4533223
2.5025024,-1.4455917
2.5125124,-1.4358957
2.5225224,-1.424254
2.5325325,-1.4106895
2.5425425,-1.3952296
2.5525525,-1.3779056
2.5625625,-1.3587515
2.5725725,-1.3378061
2.5825825,-1.3151119
2.5925925,-1.2907132
2.6026025,-1.2646595
2.6126125,-1.2370036
2.6226225,-1.2077998
2.6326325,-1.1771071
2.6426425,-1.1449876
2.6526525,-1.1115044
2.6626625,-1.0767254
2.6726725,-1.0407208
2.6826825,-1.0035615
2.6926925,-0.9653223
2.7027025,-0.92608106
2.7127125,-0.88591456
2.7227225,-0.8449042
2.7327325,-0.8031329
2.7427425,-0.76068264
2.7527525,-0.71763945
2.7627625,-0.6740904
2.7727726,-0.6301209
2.7827828,-0.5858191
2.7927928,-0.5412766
2.8028028,-0.4965797
2.8128128,-0.451819
2.8228228,-0.40708515
2.8328328,-0.36246586
2.8428428,-0.31805146
2.8528528,-0.27393186
2.8628628,-0.23019366
2.8728728,-0.18692538
2.8828828,-0.14421466
2.8928928,-0.102145225
2.9029028,-0.06080231
2.9129128,-0.020269603
2.9229228,0.019373447
2.9329329,0.05804646
2.9429429,0.09567124
2.9529529,0.1321739
2.9629629,0.16748059
2.9729729,0.20151979
2.9829829,0.2342248
2.9929929,0.26552862
3.003003,0.29536992
3.013013,0.3236882
3.023023,0.3504262
3.033033,0.37553144
3.043043,0.39895302
3.053053,0.4206437
3.063063,0.44056076
3.073073,0.45866388
3.083083,0.47491652
