x,y
0.0,0.0
0.01001001,0.021167012
0.02002002,0.04232454
0.030030029,0.0634631
0.04004004,0.084573224
0.05005005,0.10564546
0.060060058,0.12667033
0.070070066,0.14763847
0.08008008,0.16854045
0.09009009,0.18936689
0.1001001,0.2101085
0.110110104,0.23075594
0.120120116,0.25129998
0.13013013,0.27173147
0.14014013,0.2920411
0.15015015,0.31221995
0.16016015,0.33225888
0.17017016,0.3521489
0.18018018,0.37188113
0.19019018,0.39144674
0.2002002,0.41083696
0.2102102,0.43004307
0.22022021,0.44905645
0.23023023,0.46786866
0.24024023,0.48647115
0.25025025,0.50485575
0.26026025,0.52301407
0.27027026,0.540938
0.28028026,0.5586196
0.29029027,0.5760509
0.3003003,0.59322405
0.3103103,0.6101314
0.3203203,0.6267653
0.3303303,0.6431184
0.34034032,0.65918326
0.35035035,0.6749528
0.36036035,0.6904199
0.37037036,0.7055776
0.38038036,0.72041917
0.39039037,0.7349379
0.4004004,0.7491274
0.4104104,0.7629811
0.4204204,0.77649295
0.4304304,0.7896568
0.44044042,0.80246687
0.45045042,0.8149174
0.46046045,0.82700276
0.47047046,0.8387175
0.48048046,0.8500564
0.49049047,0.8610145
0.5005005,0.87158674
0.5105105,0.8817684
0.5205205,0.89155495
0.5305305,0.900942
0.5405405,0.90992534
0.5505505,0.91850096
0.5605605,0.926665
0.5705705,0.9344138
0.58058053,0.9417439
0.5905906,0.9486521
0.6006006,0.9551351
0.6106106,0.96119016
0.6206206,0.9668145
0.6306306,0.9720056
0.6406406,0.9767612
0.6506506,0.9810791
0.6606606,0.9849574
0.6706706,0.9883943
0.68068063,0.9913883
0.69069064,0.99393815
0.7007007,0.99604255
0.7107107,0.9977007
0.7207207,0.99891174
0.7307307,0.99967515
0.7407407,0.9999907
0.7507507,0.9998581
0.7607607,0.9992775
0.7707707,0.99824905
0.78078073,0.99677336
0.79079074,0.994851
0.8008008,0.99248284
0.8108108,0.98967004
0.8208208,0.9864137
0.8308308,0.98271537
0.8408408,0.9785767
0.8508508,0.97399956
0.8608608,0.968986
0.8708708,0.96353817
0.88088083,0.9576586
0.89089084,0.9513499
0.90090084,0.94461495
0.9109109,0.93745667
0.9209209,0.92987835
0.9309309,0.9218834
0.9409409,0.91347533
0.9509509,0.9046579
0.9609609,0.8954352
0.9709709,0.88581115
0.98098093,0.8757903
0.99099094,0.8653769
1.001001,0.8545757
1.011011,0.84339166
1.021021,0.8318296
1.031031,0.81989497
1.041041,0.8075928
1.051051,0.7949289
1.061061,0.78190863
1.071071,0.7685382
1.081081,0.7548233
1.091091,0.7407701
1.101101,0.7263851
1.111111,0.71167445
1.121121,0.6966451
1.131131,0.6813033
1.141141,0.6656565
1.1511511,0.6497112
1.1611611,0.633475
1.1711711,0.61695474
1.1811812,0.600158
1.1911912,0.58309233
1.2012012,0.56576556
1.2112112,0.5481851
1.2212212,0.5303592
1.2312312,0.5122957
1.2412412,0.4940024
1.2512512,0.47548795
1.2612612,0.45676023
1.2712712,0.43782803
1.2812812,0.41869944
1.2912912,0.39938346
1.3013012,0.3798883
1.3113112,0.3602231
1.3213212,0.3403963
1.3313313,0.3204172
1.3413413,0.30029428
1.3513513,0.28003705
1.3613613,0.2596541
1.3713713,0.23915502
1.3813813,0.21854877
1.3913914,0.19784415
1.4014014,0.17705132
1.4114114,0.15617894
1.4214214,0.1352368
1.4314314,0.11423383
1.4414414,0.093179904
1.4514514,0.072083995
1.4614614,0.05095602
1.4714714,0.029804973
1.4814814,0.00864081
1.4914914,-0.012527464
1.5015014,-0.033689886
1.5115114,-0.05483745
1.5215214,-0.075960204
1.5315315,-0.09704892
1.5415415,-0.118094385
1.5515515,-0.1390867
1.5615615,-0.16001692
1.5715715,-0.18087521
1.5815815,-0.20165269
1.5915915,-0.22233957
1.6016016,-0.24292728
1.6116116,-0.26340568
1.6216216,-0.28376627
1.6316316,-0.30399948
1.6416416,-0.3240967
1.6516516,-0.3440485
1.6616616,-0.36384633
1.6716716,-0.3834809
1.6816816,-0.40294385
1.6916916,-0.42222604
1.7017016,-0.44131902
1.7117116,-0.46021447
1.7217216,-0.4789035
1.7317317,-0.49737814
1.7417417,-0.5156297
1.7517517,-0.5336504
1.7617617,-0.5514318
1.7717717,-0.56896627
1.7817817,-0.58624566
1.7917917,-0.6032625
1.8018017,-0.6200088
1.8118117,-0.63647753
1.8218218,-0.652661
1.8318318,-0.6685521
1.8418418,-0.68414336
1.8518518,-0.69942814
1.8618618,-0.71439964
1.8718718,-0.7290508
1.8818818,-0.74337554
1.8918918,-0.75736696
1.9019018,-0.7710192
1.9119118,-0.78432596
1.9219218,-0.7972809
1.9319319,-0.80987895
1.9419419,-0.82211405
1.9519519,-0.8339808
1.9619619,-0.8454736
1.9719719,-0.85658777
1.9819819,-0.8673181
1.9919919,-0.8776596
2.002002,-0.8776596
2.012012,-0.88188887
2.022022,-0.8862088
2.032032,-0.89061886
2.042042,-0.89511865
2.052052,-0.89970773
2.062062,-0.9043856
2.072072,-0.90915185
2.082082,-0.91400594
2.092092,-0.91894746
2.102102,-0.9239758
2.112112,-0.9290906
2.122122,-0.93429124
2.132132,-0.9395772
2.142142,-0.9449481
2.152152,-0.95040315
2.162162,-0.95594203
2.172172,-0.96156406
2.182182,-0.9672687
2.192192,-0.9730554
2.202202,-0.97892356
2.212212,-0.98487264
2.222222,-0.99090195
2.232232,-0.99701095
2.242242,-1.0031991
2.252252,-1.0094656
2.262262,-1.0158099
2.272272,-1.0222315
2.282282,-1.0287296
2.292292,-1.0353035
2.3023021,-1.0419526
2.3123121,-1.0486765
2.3223221,-1.055474
2.3323321,-1.062345
2.3423421,-1.0692884
2.3523524,-1.0763037
2.3623624,-1.08339
2.3723724,-1.0905468
2.3823824,-1.0977733
2.3923924,-1.1050687
2.4024024,-1.1124324
2.4124124,-1.1198635
2.4224224,-1.1273615
2.4324324,-1.1349254
2.4424424,-1.1425545
2.4524524,-1.1502483
2.4624624,-1.1580056
2.4724724,-1.1658258
2.4824824,-1.1737084
2.4924924,-1.1816523
2.5025024,-1.1896566
2.5125124,-1.1977208
2.5225224,-1.2058439
2.5325325,-1.2140253
2.5425425,-1.2222638
2.5525525,-1.2305589
2.5625625,-1.2389096
2.5725725,-1.2473152
2.5825825,-1.2557747
2.5925925,-1.2642875
2.6026025,-1.2728524
2.6126125,-1.2814689
2.6226225,-1.2901359
2.6326325,-1.2988527
2.6426425,-1.3076181
2.6526525,-1.3164315
2.6626625,-1.3252921
2.6726725,-1.3341988
2.6826825,-1.3431509
2.6926925,-1.3521472
2.7027025,-1.361187
2.7127125,-1.3702695
2.7227225,-1.3793936
2.7327325,-1.3885584
2.7427425,-1.3977631
2.7527525,-1.4070067
2.7627625,-1.4162884
2.7727726,-1.425607
2.7827828,-1.4349619
2.7927928,-1.4443519
2.8028028,-1.4537761
2.8128128,-1.4632336
2.8228228,-1.4727235
2.8328328,-1.4822447
2.8428428,-1.4917965
2.8528528,-1.5013776
2.8628628,-1.5109874
2.8728728,-1.5206246
2.8828828,-1.5302886
2.8928928,-1.5399781
2.9029028,-1.5496923
2.9129128,-1.5594301
2.9229228,-1.5691907
2.9329329,-1.5789732
2.9429429,-1.5887762
2.9529529,-1.5985991
2.9629629,-1.6084408
2.9729729,-1.6183002
2.9829829,-1.6281765
2.9929929,-1.6380686
3.003003,-1.6479756
3.013013,-1.6578963
3.023023,-1.66783
3.033033,-1.6777754
3.043043,-1.6877317
3.053053,-1.697698
3.063063,-1.7076731
3.073073,-1.7176559
3.083083,-1.7276458
3.093093,-1.7376413
3.103103,-1.7476418
3.113113,-1.7576462
3.123123,-1.7676535
3.133133,-1.7776625
3.143143,-1.7876724
3.153153,-1.7976822
3.163163,-1.8076907
3.173173,-1.8176972
3.183183,-1.8277004
3.193193,-1.8376995
3.2032032,-1.8476937
3.2132132,-1.8576814
3.2232232,-1.867662
3.2332332,-1.8776344
3.2432432,-1.8875977
3.2532532,-1.8975508
3.2632632,-1.9074926
3.2732732,-1.9174224
3.2832832,-1.9273391
3.2932932,-1.9372416
3.3033032,-1.9471288
3.3133132,-1.957
3.3233232,-1.966854
3.3333333,-1.9766899
3.3433433,-1.9865068
3.3533533,-1.9963036
3.3633633,-2.0060792
3.3733733,-2.015833
3.3833833,-2.0255637
3.3933933,-2.0352702
3.4034033,-2.044952
3.4134133,-2.0546079
3.4234233,-2.0642366
3.4334333,-2.0738375
3.4434433,-2.0834098
3.4534533,-2.0929523
3.4634633,-2.1024637
3.4734733,-2.1119437
3.4834833,-2.121391
3.4934933,-2.1308048
3.5035033,-2.140184
3.5135133,-2.1495275
3.5235233,-2.158835
3.5335333,-2.1681046
3.5435433,-2.1773365
3.5535533,-2.186529
3.5635633,-2.195681
3.5735734,-2.2047925
3.5835834,-2.2138617
3.5935934,-2.2228882
3.6036034,-2.2318711
3.6136134,-2.240809
3.6236234,-2.2497015
3.6336336,-2.2585478
3.6436436,-2.2673464
3.6536536,-2.276097
3.6636636,-2.2847984
3.6736736,-2.2934499
3.6836836,-2.3020504
3.6936936,-2.3105993
3.7037036,-2.3190956
3.7137136,-2.3275385
3.7237236,-2.3359272
3.7337337,-2.344261
3.7437437,-2.3525386
3.7537537,-2.3607595
3.7637637,-2.3689227
3.7737737,-2.3770278
3.7837837,-2.3850734
3.7937937,-2.3930593
3.8038037,-2.400984
3.8138137,-2.4088473
3.8238237,-2.4166484
3.8338337,-2.424386
3.8438437,-2.4320598
3.8538537,-2.439669
3.8638637,-2.4472125
3.8738737,-2.4546897
3.8838837,-2.4621
3.8938937,-2.4694428
3.9039037,-2.4767168
3.9139137,-2.4839218
3.9239237,-2.491057
3.9339337,-2.4981213
3.9439437,-2.505114
3.9539537,-2.5120351
3.9639637,-2.5188835
3.9739738,-2.5256584
3.9839838,-2.5323591
3.9939938,-2.538985
4.004004,-2.538985
4.014014,-2.5250916
4.024024,-2.471822
4.034034,-2.381312
4.044044,-2.2571685
4.054054,-2.1043606
4.064064,-1.9289806
4.074074,-1.7380472
4.084084,-1.5391735
4.094094,-1.3403183
4.104104,-1.1494033
4.114114,-0.9740835
4.124124,-0.8213417
4.134134,-0.6972907
4.144144,-0.6068766
4.154154,-0.5537178
4.164164,-0.53993386
4.174174,-0.5660764
4.184184,-0.63110626
4.194194,-0.73241603
4.204204,-0.865968
4.214214,-1.0264173
4.224224,-1.2073668
4.234234,-1.4015746
4.244244,-1.6012974
4.254254,-1.7985423
4.264264,-1.9854515
4.2742743,-2.1545367
4.284284,-2.2990458
4.2942944,-2.413217
4.304304,-2.4924812
4.3143144,-2.5336778
4.324324,-2.5351582
4.3343344,-2.4968612
4.344344,-2.4203224
4.3543544,-2.3085926
4.364364,-2.1661437
4.3743744,-1.9986548
4.384384,-1.8128294
4.3943944,-1.6160764
4.404404,-1.4162699
4.4144144,-1.2213693
4.424424,-1.0391896
4.4344344,-0.87698674
4.444444,-0.7412523
4.4544544,-0.63739824
4.464464,-0.5695808
4.4744744,-0.5405039
4.484484,-0.5513314
4.4944944,-0.601634
4.504504,-0.68939495
4.5145144,-0.81111616
4.524524,-0.96192634
4.5345345,-1.1358124
4.544544,-1.3258153
4.5545545,-1.5243595
4.564564,-1.723499
4.5745745,-1.915301
4.584584,-2.0920749
